service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
PROJET2025-86-Semaine-07-1101100-86,1,1,0,1,1,0,0,20260107,20260306
PROJET2026-75D-Semaine-08-75D,1,1,1,1,1,0,0,20260107,20260306
PROJET2026-C-L-Ma-J-V-05-C,1,1,0,1,1,0,0,20260107,20260306
PROJET2025-Exp3-Semaine-03-Exp3,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-C44-Semaine-02-0100000-C44,0,1,0,0,0,0,0,20260107,20260303
PROJET2025-77-Semaine-05-1101100-77,1,1,0,1,1,0,0,20260107,20260306
JANV2026-CE-Semaine-32-CE,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-90-Semaine-23-90,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-C41-Semaine-03-0100000-C41,0,1,0,0,0,0,0,20260107,20260303
PROJET2026-Exp2-Semaine-14-Exp2,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-39-Semaine-04-0101100-39,0,1,0,1,1,0,0,20260107,20260306
PROJET2025-93-Semaine-07-0100000-93,0,1,0,0,0,0,0,20260107,20260303
PROJET2025-49-Semaine-09-49,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-COL-Semaine-02-COL,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-C45-Semaine-03-0100000-C45,0,1,0,0,0,0,0,20260107,20260303
PROJET2025-Exp4-Semaine-04-Exp4,1,1,1,1,1,0,0,20260107,20260306
PROJET2026-V-L-Ma-J-V-06-V,1,1,0,1,1,0,0,20260107,20260306
PROJET2025-92-Semaine-23-92,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-91-Semaine-31-0111100-91,0,1,1,1,1,0,0,20260107,20260306
PROJET2025-K-L-Ma-J-V-02-K,1,1,0,1,1,0,0,20260107,20260306
PROJET2024-AUR-Semaine-04-1111000-AUR,1,1,1,1,0,0,0,20260107,20260305
PROJET2024-C42-Semaine-03-C42,1,1,1,1,1,0,0,20260107,20260306
JANV2026-14-L-Ma-J-V-38-14,1,1,0,1,1,0,0,20260107,20260306
JANV2026-30-Semaine-33-30,1,1,1,1,1,0,0,20260107,20260306
JANV2026-08-Semaine-07-08,1,1,1,1,1,0,0,20260107,20260306
JANV2026-14-Mercredi-38-14,0,0,1,0,0,0,0,20260107,20260304
JANV2026-14-Dimanche-36-14,0,0,0,0,0,0,1,20260111,20260308
JANV2026-14-Samedi-36-14,0,0,0,0,0,1,0,20260110,20260307
JANV2026-30-Dimanche-33-30,0,0,0,0,0,0,1,20260111,20260308
JANV2026-30-Samedi-32-30,0,0,0,0,0,1,0,20260110,20260307
JANV2026-08-Dimanche-04-08,0,0,0,0,0,0,1,20260111,20260308
JANV2026-08-Samedi-05-08,0,0,0,0,0,1,0,20260110,20260307
chouette:TimeTable:33c75b61-29d2-4ba4-803f-48c636b41303:LOC,1,0,0,0,0,0,0,20260112,20260308
chouette:TimeTable:747406fc-e2f8-47c7-a6c2-b0251a86d0ff:LOC,0,1,1,1,1,1,0,20260107,20260307
JANV2026-L3-Samedi-04-L3,0,0,0,0,0,1,0,20260110,20260307
JANV2026-L3-Dimanche-04-L3,0,0,0,0,0,0,1,20260111,20260308
JANV2026-L3-Semaine-10-L3,1,1,1,1,1,0,0,20260109,20260306
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,0,1,1,1,1,1,0,20260110,20260307
PVS2025-26-L3-Semaine-12-L3,1,1,1,1,1,0,0,20260216,20260226
chouette:TimeTable:73280d41-c22d-44cc-af6e-7ceffa0dc552:LOC,0,1,1,1,1,1,0,20260110,20260307
chouette:TimeTable:eb29206a-a83b-48bf-b2c7-548138d5d06e:LOC,0,1,1,1,1,1,0,20260107,20260306
chouette:TimeTable:530d7513-62db-4e0c-8c95-64eb7b7b233a:LOC,0,1,1,1,1,1,0,20260217,20260227
chouette:TimeTable:1ef73200-969f-4bfc-8a4e-7ed228c5d9a7:LOC,1,0,0,0,0,0,0,20260112,20260308
PROJET2025-22-Mercredi-21-22,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-22-Semaine-23-22,1,1,1,1,1,0,0,20260216,20260227
PROJET2025-22-Samedi-20-22,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-22-Dimanche-20-22,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-19-Samedi-23-19,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-19-Mercredi-23-19,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-19-Dimanche-23-19,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-19-Semaine-24-19,1,1,1,1,1,0,0,20260216,20260227
PROJET2026-80-Semaine-97-80,1,1,1,1,1,0,0,20260216,20260227
PROJET2026-80-Samedi-04-80,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-63-Samedi-61-63,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-63-Semaine-67-63,1,1,1,1,1,0,0,20260216,20260227
PROJET2025-63-Dimanche-61-63,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-63-Mercredi-66-63,0,0,1,0,0,0,0,20260107,20260304
JANV2026-L2-Dimanche-04-L2,0,0,0,0,0,0,1,20260111,20260308
PVS2025-26-L2-Semaine-12-L2,1,1,1,1,1,0,0,20260216,20260226
JANV2026-L2-Semaine-10-L2,1,1,1,1,1,0,0,20260109,20260306
JANV2026-L2-Samedi-04-L2,0,0,0,0,0,1,0,20260110,20260307
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,0,1,1,1,1,1,0,20260110,20260307
PROJET2024-NVence2-Samedi-12-NVN2,0,0,0,0,0,1,0,20260110,20260307
JANV2026-B-Dimanche-04-B,0,0,0,0,0,0,1,20260111,20260308
JANV2026-B-Samedi-04-B,0,0,0,0,0,1,0,20260110,20260307
PVS2025-26-B-Semaine-12-B,1,1,1,1,1,0,0,20260216,20260226
chouette:TimeTable:b7690495-9fee-48fa-a091-523b9e67705f:LOC,0,1,1,1,1,1,0,20260217,20260227
JANV2026-B-Semaine-10-B,1,1,1,1,1,0,0,20260109,20260306
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,0,1,1,1,1,1,0,20260107,20260306
chouette:TimeTable:5d4c0dd5-f0f3-466b-b844-c09a8be82ea5:LOC,1,0,0,0,0,0,0,20260112,20260308
JANV2026-L1-Samedi-46-L1,0,0,0,0,0,1,0,20260110,20260307
JANV2026-81-Samedi-35-81,0,0,0,0,0,1,0,20260110,20260307
JANV2026-81-Dimanche-36-81,0,0,0,0,0,0,1,20260111,20260308
PROJETS-NV30-Samedi-01-NV30,0,0,0,0,0,1,0,20260110,20260307
JANV2026-33-Mercredi-37-33,0,0,1,0,0,0,0,20260107,20260304
JANV2026-33-Samedi-34-33,0,0,0,0,0,1,0,20260110,20260307
JANV2026-33-Dimanche-34-33,0,0,0,0,0,0,1,20260111,20260308
PROJET2024-ISO-Samedi-04-ISO,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-ISO-Dimanche-05-ISO,0,0,0,0,0,0,1,20260111,20260308
PROJET2024-ISO-Semaine-03-0000100-ISO,0,0,0,0,1,0,0,20260109,20260306
JANV2026-L1-Semaine-08-L1,1,1,1,1,1,0,0,20260109,20260306
JANV2026-L1-Dimanche-58-L1,0,0,0,0,0,0,1,20260111,20260308
PVS2025-26-L1-Semaine-43-L1,1,1,1,1,1,0,0,20260216,20260226
chouette:TimeTable:ce4a5542-03ff-4bda-bbaf-11ebc617e337:LOC,1,0,0,0,0,0,0,20260112,20260308
chouette:TimeTable:200b2f97-4f42-4414-ad33-4f78661e2d24:LOC,0,1,1,1,1,1,0,20260110,20260307
chouette:TimeTable:9d1d0703-9fd4-4e3d-8be6-42450512a8c4:LOC,0,1,1,1,1,1,0,20260107,20260306
