,semaine,inc_grippe,inc_gastro,inc_varicelle,gaspillage_volume,reel_std_annee,prevision,effectif,reel
count,1188.0,1188.0,1188.0,1188.0,1188.0,1188.0,1188.0,1188.0,1188.0
mean,25.84259259259259,2346.5185185185187,4212.1355218855215,706.0732323232323,858.956228956229,1887.19487226336,13696.729797979799,18890.589225589225,12837.77356902357
std,15.877945495929435,4778.634345297773,2627.853230137009,1067.5394421345186,936.9292436027565,1142.9630432910494,2527.794888041963,1013.2827620197178,2490.102028287314
min,1.0,0.0,0.0,0.0,-1360.0,786.915843995894,0.0,17373.0,0.0
25%,12.0,0.0,2179.0,103.0,501.0,822.2895612742781,13167.25,17955.0,12389.75
50%,24.0,371.0,3458.0,415.0,682.0,1514.2377925626906,13991.0,18633.0,13184.0
75%,41.0,1910.0,5858.0,921.0,908.25,2366.996342042951,14910.0,19958.0,14016.5
max,51.0,35064.0,13855.0,10797.0,10478.0,4439.9407220820885,17989.0,20685.0,16423.0
